property,latitude,longitude,city,country,monthly_rate,lease_term_months,total_views
Sample Property 1,43.641382,-79.431819,Toronto,Canada,1100,12,11091
Sample Property 2,43.646583,-79.407402,Toronto,Canada,1100,12,11447
Sample Property 3,43.64667,-79.40717,Toronto,Canada,1100,12,8261
Sample Property 4,43.6429,-79.42538,Toronto,Canada,1100,12,6422
Sample Property 5,43.6429,-79.42538,Toronto,Canada,1100,12,9248
Sample Property 6,43.64342,-79.4220985,Toronto,Canada,1100,12,10096
Sample Property 7,43.652321,-79.37938,Toronto,Canada,1100,12,5078
Sample Property 8,49.28052,-123.100731,Vancouver,Canada,1100,12,6594
Sample Property 9,43.645285,-79.412963,Toronto,Canada,1100,12,11391
Sample Property 10,43.646613,-79.407357,Toronto,Canada,1100,12,12174
Sample Property 11,43.644105,-79.419764,Toronto,Canada,1100,12,8084
Sample Property 12,43.646441,-79.408093,Toronto,Canada,1100,12,10165
Sample Property 13,43.646569,-79.407184,Toronto,Canada,1100,12,6066
Sample Property 14,43.646235,-79.408502,Toronto,Canada,1100,12,12084
Sample Property 123,26.713808,-80.050308,Toronto,Canada,1100,12,11600
Sample Property 301,43.69535,-79.46347,Toronto,Canada,1100,12,7554
Sample Property 302,43.6434202,-79.4220965,Toronto,Canada,1100,12,6592
Sample Property 304,43.64342,-79.4220985,Toronto,Canada,1100,12,8844
Sample Property 306,43.540542,-80.553264,Waterloo,Canada,1100,12,12715
Sample Property 307,43.647208,-79.379381,Toronto,Canada,1100,12,14808
Sample Property 400,43.67074,-79.39285,Toronto,Canada,1100,12,5198
Sample Property 401,43.66996,-79.39271,Toronto,Canada,1100,12,14252
Sample Property 402,43.66998,-79.39276,Toronto,Canada,1100,12,6681
Sample Property 403,43.670189,-79.391581,Toronto,Canada,1100,12,8252
Sample Property 404,43.671353,79.390966,Toronto,Canada,1100,12,8850
Sample Property 405,43.67135,-79.39097,Toronto,Canada,1100,12,9276
Sample Property 406,43.642133,-79.389596,Toronto,Canada,1100,12,9776
Sample Property 407,43.70029,-79.430017,Toronto,Canada,1100,12,8403
Sample Property 408,43.650431,-79.3588,Toronto,Canada,1100,12,5970
Sample Property 409,43.703796,-79.411692,Toronto,Canada,1100,12,5930
Sample Property 410,43.671515,-79.387423,Toronto,Canada,1100,12,13061
Sample Property 411,43.649028,-79.372145,Toronto,Canada,1100,12,5047
Sample Property 412,43.721697,-79.512102,Toronto,Canada,1100,12,10136
Sample Property 413,43.644314,-79.400276,Toronto,Canada,1100,12,9757
Sample Property 415,43.670975,-79.388278,Toronto,Canada,1100,12,13386
Sample Property 416,43.645537,-79.394331,Toronto,Canada,1100,12,11433
Sample Property 417,43.650505,-79.358474,Toronto,Canada,1100,12,6957
Sample Property 418,43.646962,-79.388463,Toronto,Canada,1100,12,6697
Sample Property 419,43.650718,-79.358025,Toronto,Canada,1100,12,13265
Sample Property 420,43.656154,-79.382304,Toronto,Canada,1100,12,7234
Sample Property 421,43.645075,-79.396338,Toronto,Canada,1100,12,5062
Sample Property 422,43.646263,-79.390974,Toronto,Canada,1100,12,12148
Sample Property 423,43.706913,-79.396564,Toronto,Canada,1100,12,8108
